               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095949,            0.023182,            0.037961,             0.67174,              0.0593,            0.030996,           0.0074169,            0.074289,            0.012524,            0.022183,            0.070405,           0.0032883,           0.0032883
                   1,            0.067026,            0.019305,            0.023899,             0.74664,             0.11719,             0.15575,            0.057461,            0.065351,           0.0093285,            0.016642,            0.040187,           0.0064031,           0.0064031
                   2,            0.063488,            0.016848,            0.019203,             0.65943,             0.25023,             0.18278,            0.065214,            0.059003,           0.0078262,            0.013306,           0.0097484,           0.0092979,           0.0092979
                   3,            0.057751,            0.015505,            0.015091,             0.55397,             0.32918,             0.27519,             0.11116,            0.050785,           0.0076887,            0.013893,             0.00901,             0.00901,             0.00901
                   4,            0.051906,            0.014167,            0.012972,             0.62959,             0.32145,             0.31354,             0.13469,            0.045478,           0.0074104,            0.011637,             0.00901,             0.00901,             0.00901
                   5,            0.049457,            0.013864,             0.01218,             0.65246,              0.4028,             0.41039,             0.20227,            0.047363,           0.0065814,            0.011699,             0.00868,             0.00868,             0.00868
                   6,            0.045689,            0.013147,            0.011209,             0.65117,             0.40208,             0.40313,             0.19606,            0.043565,           0.0069023,            0.012686,             0.00835,             0.00835,             0.00835
                   7,             0.04448,            0.012654,            0.011237,             0.65572,              0.4343,             0.45356,             0.23516,            0.039047,           0.0066053,            0.011627,             0.00802,             0.00802,             0.00802
                   8,            0.042511,            0.012739,            0.011034,             0.75836,             0.45519,              0.5235,             0.28699,            0.035262,           0.0061614,           0.0097029,             0.00769,             0.00769,             0.00769
                   9,            0.040885,            0.013058,            0.010276,             0.71806,             0.46429,             0.49655,             0.27911,            0.033802,           0.0059126,             0.00896,             0.00736,             0.00736,             0.00736
                  10,            0.039603,            0.011957,           0.0091469,             0.77804,              0.4636,             0.53074,             0.29002,             0.03632,            0.005718,            0.010013,             0.00703,             0.00703,             0.00703
                  11,            0.038794,            0.011717,           0.0088871,             0.74435,             0.49358,              0.5349,             0.30181,            0.034479,           0.0057655,            0.008654,              0.0067,              0.0067,              0.0067
                  12,            0.037511,            0.011402,           0.0081066,             0.86807,             0.46885,             0.61888,              0.3703,            0.032983,           0.0055491,           0.0098174,             0.00637,             0.00637,             0.00637
                  13,            0.036871,            0.011312,           0.0084796,              0.8523,             0.49988,             0.62353,             0.33996,             0.03487,           0.0054476,           0.0094326,             0.00604,             0.00604,             0.00604
                  14,            0.035922,            0.011292,           0.0073443,             0.87918,             0.47378,             0.60571,             0.32918,             0.03254,           0.0055484,           0.0082725,             0.00571,             0.00571,             0.00571
                  15,              0.0355,            0.010817,           0.0068851,             0.87879,             0.51935,              0.6601,             0.36755,            0.032349,           0.0054261,           0.0076483,             0.00538,             0.00538,             0.00538
                  16,            0.033699,            0.011054,            0.006602,             0.76909,             0.64953,             0.71164,             0.45837,            0.029847,           0.0051018,           0.0069215,             0.00505,             0.00505,             0.00505
                  17,            0.032767,            0.010514,           0.0060678,              0.7764,             0.65879,             0.77209,             0.50442,            0.031164,           0.0052633,           0.0066556,             0.00472,             0.00472,             0.00472
                  18,            0.031976,            0.010554,           0.0058981,             0.81618,             0.68606,             0.77049,             0.46418,            0.029986,           0.0049663,           0.0057585,             0.00439,             0.00439,             0.00439
                  19,            0.031118,           0.0096571,            0.005939,             0.78779,             0.68886,             0.75729,             0.49121,            0.028271,           0.0049728,           0.0058886,             0.00406,             0.00406,             0.00406
                  20,            0.030397,           0.0097749,           0.0049012,             0.89352,             0.62346,             0.71348,             0.45234,            0.028858,           0.0048984,           0.0059401,             0.00373,             0.00373,             0.00373
                  21,            0.030096,           0.0095601,           0.0052763,             0.89014,             0.69353,             0.79394,              0.5353,            0.026927,           0.0049097,            0.006435,              0.0034,              0.0034,              0.0034
                  22,            0.029187,           0.0095238,           0.0047838,             0.83761,             0.65377,             0.76355,             0.49783,            0.026803,           0.0047843,           0.0066232,             0.00307,             0.00307,             0.00307
                  23,             0.02817,           0.0093352,           0.0046094,             0.90936,             0.57461,             0.75109,             0.49375,             0.02581,           0.0047619,           0.0054848,             0.00274,             0.00274,             0.00274
                  24,            0.028001,           0.0093381,           0.0040905,             0.80266,             0.69957,             0.78828,             0.53067,            0.026496,           0.0047135,           0.0057165,             0.00241,             0.00241,             0.00241
                  25,            0.026582,           0.0089699,           0.0039398,             0.93244,             0.73761,             0.82223,             0.57389,            0.025949,           0.0046268,           0.0053832,             0.00208,             0.00208,             0.00208
                  26,            0.025866,           0.0088846,           0.0039915,              0.6087,             0.71871,             0.74345,             0.51264,            0.025726,           0.0047975,           0.0056534,             0.00175,             0.00175,             0.00175
                  27,            0.025247,           0.0088678,           0.0037941,             0.65865,             0.71927,             0.79342,             0.53579,            0.025216,            0.004481,           0.0047606,             0.00142,             0.00142,             0.00142
                  28,            0.024521,           0.0087888,           0.0034884,             0.92337,             0.74001,             0.83577,             0.56529,            0.024726,           0.0044553,           0.0049909,             0.00109,             0.00109,             0.00109
                  29,            0.024863,           0.0087356,            0.003873,              0.6966,             0.74656,             0.81136,             0.56219,            0.024701,            0.004423,           0.0048712,             0.00076,             0.00076,             0.00076
